	1	5	10	20	30
1516.25711	62.86061	51.33041	21.30436	11.38896	9.59675
1539.88083	61.12573	52.11893	20.44374	7.85438	5.42044
1563.50455	60.60763	51.78721	25.08073	13.57394	9.00753
1587.12828	59.81665	49.91358	29.74174	14.44402	5.49747
1610.75199	58.9046	46.22025	30.50381	7.12009	3.51669
1634.37571	57.84457	41.73211	28.22996	2.63468	5.03333
1657.99942	58.15096	39.77324	27.22728	5.68147	3.71532
1681.62314	59.71631	39.94322	27.09615	12.60196	3.515
1705.24686	61.17733	40.45722	25.50105	15.07143	9.07673
1728.87058	61.95698	40.43396	23.03947	11.08397	9.01213
1752.49429	62.19096	40.21071	24.15823	12.84779	9.56681
1776.11803	61.98971	40.88098	29.96466	20.41909	14.53022
1799.74179	61.66645	42.5336	36.65217	21.85253	10.63334
1823.36551	61.25677	44.86876	40.92049	15.46881	11.72931
1846.98923	60.84001	47.217	42.05293	12.51708	14.70721
1870.61294	60.54024	49.24277	40.21021	18.31596	10.1037
1894.23667	60.08793	50.74119	35.85083	21.9411	11.62749
1917.86039	59.66716	51.68306	29.6186	17.69319	13.53722
1941.48411	59.22248	52.12021	23.82159	11.40486	9.05283
1965.10782	58.81173	51.88724	21.94118	13.3629	10.57343
1988.73154	58.47626	51.15713	24.90495	18.9354	12.01732
2012.35526	58.03885	49.80288	30.11362	18.59749	7.96057
2035.97898	57.68249	47.9517	34.23751	12.27049	9.13965
2059.6027	57.40401	45.51071	36.0268	9.16173	10.53379
2083.22641	57.15526	42.66752	35.37091	13.59598	7.07733
2106.85013	56.99531	39.56576	32.49061	17.59041	7.99556
2130.47385	56.95919	36.66666	27.72065	15.26576	9.9016
2154.09757	56.95903	34.41597	22.34426	9.71445	7.19998
2177.72128	56.98841	33.34648	18.65031	9.78008	7.82108
2201.345	57.00632	33.7932	19.11031	15.34483	10.12458
2224.96872	57.03226	35.49541	23.54427	17.80259	7.76554
2248.59244	57.07128	37.95304	29.0548	13.82864	7.91132
2272.21616	57.12466	40.53548	33.07474	9.35486	10.23016
2295.83987	57.28582	42.65369	34.63647	11.82168	8.11734
2319.46359	57.98589	43.45883	34.10124	16.99618	7.63293
2343.08731	58.57599	43.98518	30.88685	17.07618	9.65925
2366.71102	58.61331	44.62105	25.44164	11.80337	7.81925
2390.33475	56.94083	46.64925	19.97389	9.03606	7.27503
2413.95847	56.728	46.38971	17.28544	13.06237	9.27849
2437.58219	56.61201	45.49245	18.80506	16.73969	7.86912
2461.2059	56.53272	44.15414	23.30358	14.71077	6.93567
2484.82962	56.44877	42.32723	28.10868	9.69933	8.87524
2508.45333	56.38085	40.02109	31.01256	9.58977	7.79886
2532.07705	56.34554	37.30197	31.50431	14.29721	6.75503
2555.70078	56.18628	34.42756	29.58545	16.09482	8.40045
2579.3245	56.09188	31.78298	25.61776	12.12116	7.43957
2602.94822	55.90689	29.91339	20.3856	8.10433	6.23053
2626.57193	55.73745	29.27813	15.76076	10.07406	7.35988
2650.19565	55.48514	29.82696	14.07623	13.53721	6.2456
2673.81937	55.18145	31.20158	16.13143	12.19105	4.98758
2697.44308	54.9447	32.86681	19.83948	7.21028	5.64338
2721.06681	54.58252	34.34213	22.63467	5.4354	4.65495
2744.69052	54.26282	35.38966	23.33	8.07628	3.61099
2768.31427	53.83676	35.91982	21.56184	9.28495	4.05787
2791.93802	53.4922	35.7855	17.78904	6.31483	3.31944
2815.56173	53.03492	34.94331	12.61876	3.00424	2.62512
2839.18545	52.50379	33.48558	7.5513	3.41925	2.92003
2862.80917	52.07606	31.29491	4.41414	5.26609	2.57673
2886.4329	51.64074	28.38385	4.32258	4.90654	2.17688
2910.05662	51.06823	24.65561	6.24718	2.67122	2.33292
2933.68033	50.48646	20.52193	8.54097	1.47629	2.23014
2957.30405	50.06347	16.14204	9.92021	2.42099	2.07455
2980.92777	49.64084	11.86831	9.75649	3.15513	2.21726
3004.55148	48.9939	8.20818	8.16906	2.57969	2.10396
3028.1752	48.37447	5.71415	5.71162	1.6522	2.0552
3051.79892	47.73284	4.46965	3.19663	1.58096	2.1193
3075.42264	47.10306	4.29752	1.37465	2.06476	2.09634
3099.04636	46.40307	4.88464	0.62108	2.22166	2.03669
3122.67008	45.70644	5.96039	0.84029	2.0339	2.02368
3146.29379	45.04862	7.00406	1.54551	1.78287	2.04479
3169.91751	44.31361	7.90721	2.25885	1.76055	2.06975
3193.54123	43.64162	8.56431	2.77592	1.84509	2.01972
3217.16495	42.86079	8.84851	2.91542	1.86345	2.06938
3240.78867	42.11853	8.92086	2.85753	1.88173	2.00188
3264.41238	41.44513	8.75631	2.53896	1.81583	2.01765
3288.0361	40.61525	8.30939	2.16695	1.88874	1.96083
3311.65982	39.94521	7.80007	1.90664	1.70185	1.90591
3335.28353	39.17106	7.12144	1.72405	1.77765	1.96446
3358.90725	38.49448	6.4298	1.5552	1.76494	1.92928
3382.53098	38.07926	5.87537	1.42991	1.75216	1.80535
3406.1547	37.75088	5.39482	1.25003	1.68487	1.79792
3429.77841	37.67229	5.15817	1.23998	1.63985	1.70914
3453.40213	37.83281	4.891	1.03964	1.66314	1.58683
3477.02585	38.28477	4.77821	1.00228	1.46041	1.51524
3500.64957	39.00454	4.7204	0.79453	1.29246	1.45011
3524.27328	39.81018	4.59468	0.8157	1.35656	1.3853
3547.89701	40.7842	4.70482	0.92529	1.27795	1.30513
3571.52073	42.0238	4.82912	1.17778	1.25415	1.21277
3595.14444	43.64441	5.40569	1.84164	1.32385	1.15556
3618.76816	45.44922	6.7435	3.46264	1.34383	1.12627
3642.39187	47.91877	10.63778	6.90569	1.34166	1.17339
