Frequency (THz),n_real,n_imag
2.58783783783784,2.86804678593509,-1.91208332314499e-15
2.6027027027027,2.88867058237123,-1.59819040510714e-15
2.61756756756757,2.90879316213044,-2.71706694658584e-15
2.63243243243243,2.92844213867779,6.46620931900032e-16
2.6472972972973,2.94764331072545,6.0322228857565e-16
2.66216216216216,2.96642081714791,-2.3394381228518e-15
2.67702702702703,2.98479727591889,1.79773536560329e-15
2.69189189189189,3.00279390901559,3.81838642005967e-15
2.70675675675676,3.02043065496338,-7.90571057815516e-15
2.72162162162162,3.03772627046441,-4.39063897709656e-15
2.73648648648649,3.0546984223595,3.63469820829474e-15
2.75135135135135,3.07136377100872,-3.92858344401786e-15
2.76621621621622,3.08773804603541,2.57345498537538e-15
2.78108108108108,3.10383611525926,-1.31728059779878e-15
2.79594594594595,3.11967204754121,2.31672992033938e-15
2.81081081081081,3.13525917017504,-2.21515375901699e-15
2.82567567567568,3.15061012138445,-3.28550999958431e-15
2.84054054054054,3.16573689841859,8.11227221212773e-16
2.8554054054054,3.18065090168218,-1.06366662213792e-15
2.87027027027027,3.19536297528676,4.08745696126898e-15
2.88513513513514,3.20988344436654,-2.12180256859817e-15
2.9,3.22422214946415,-1.82428896128528e-15
2.91486486486486,3.23838847825912,-9.01416127486405e-16
2.92972972972973,3.25239139488267,-4.84106093378716e-15
2.94459459459459,3.26623946703658,5.56644793535938e-15
2.95945945945946,3.27994089111202,2.57884169459533e-16
2.97432432432432,3.29350351548362,1.82368140513587e-15
2.98918918918919,3.30693486213716,3.66734539651918e-15
3.00405405405405,3.3202421467732,-1.27359122131002e-15
3.01891891891892,3.33343229751519,4.05505905302129e-16
3.03378378378378,3.3465119723385,-2.84418503970735e-16
3.04864864864865,3.35948757532544,-3.76528845494159e-15
3.06351351351351,3.372365271842,-3.76484277751802e-15
3.07837837837838,3.38515100272257,-6.74353738540561e-17
3.09324324324324,3.39785049754186,-5.29544430339317e-15
3.10810810810811,3.41046928704558,-3.38754840551988e-15
3.12297297297297,3.42301271480522,1.62261402687676e-15
3.13783783783784,3.43548594815673,-8.64793812041391e-16
3.1527027027027,3.44789398847783,-2.29753471757128e-15
3.16756756756757,3.46024168085337,-2.56408528842291e-15
3.18243243243243,3.47253372317524,3.6658192036716e-15
3.1972972972973,3.48477467471805,-2.46835517454577e-15
3.21216216216216,3.49696896422966,-1.24322069342268e-16
3.22702702702703,3.50912089757169,-2.48075766784046e-15
3.24189189189189,3.52123466494277,-1.39756265308308e-15
3.25675675675676,3.53331434771456,-2.97823360351171e-15
3.27162162162162,3.54536392490817,-7.27269901993347e-16
3.28648648648649,3.55738727933682,2.38134975703521e-15
3.30135135135135,3.56938820343813,-3.14494120225782e-16
3.31621621621622,3.58137040481824,1.70181734579911e-15
3.33108108108108,3.59333751152791,3.67275601449157e-15
3.34594594594595,3.60529307708953,-3.49370203297079e-15
3.36081081081081,3.61724058529253,-5.86157298366589e-16
3.37567567567568,3.62918345477351,3.22442138632792e-15
3.39054054054054,3.64112504339627,3.11071041762914e-15
3.40540540540541,3.65306865244585,-1.68941323183079e-15
3.42027027027027,3.66501753064988,-2.75126984719683e-16
3.43513513513514,3.67697487803945,1.95465205160004e-15
3.45,3.68894384966128,-5.05340709742444e-16
3.46486486486486,3.70092755915178,5.52292823044022e-15
3.47972972972973,3.7129290821834,1.07917078106548e-15
3.49459459459459,3.72495145979279,3.73978793213621e-16
3.50945945945946,3.73699770159964,1.36927323943846e-15
3.52432432432432,3.74907078892496,1.3487710947712e-15
3.53918918918919,3.7611736778167,-5.06495121024763e-15
3.55405405405405,3.77330930199031,-2.84129931698652e-16
3.56891891891892,3.78548057569151,-3.76718221543086e-15
3.58378378378378,3.79769039648828,3.86333136400708e-15
3.59864864864865,3.80994164799829,-1.4244393152308e-15
3.61351351351351,3.82223720255844,-8.30993161700802e-16
3.62837837837838,3.83457992384208,-1.15540223002616e-15
3.64324324324324,3.84697266943009,-2.480599100604e-15
3.65810810810811,3.85941829334095,2.45502208799152e-15
3.67297297297297,3.87191964852538,-1.19377455925778e-15
3.68783783783784,3.88447958933066,3.16349911587279e-15
3.7027027027027,3.89710097393962,-3.20685288440299e-15
3.71756756756757,3.90978666678915,-1.94125614099737e-15
3.73243243243243,3.92253954097302,-1.02658464023235e-15
3.7472972972973,3.93536248063369,1.34156562387855e-15
